         21065184 function calls (20204408 primitive calls) in 1464.394 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6323 1328.995    0.210 1328.995    0.210 {method 'acquire' of '_thread.lock' objects}
     1004    0.041    0.000    0.041    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      480    0.041    0.000    0.041    0.000 {resize}
      105    0.040    0.000    0.040    0.000 {method 'close' of '_io.BufferedRandom' objects}
    58371    0.040    0.000    0.040    0.000 {method 'match' of 're.Pattern' objects}
    15735    0.040    0.000    0.116    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:1100(__init__)
    55767    0.040    0.000    0.046    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/autograd/grad_mode.py:126(__init__)
    27518    0.039    0.000    0.039    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1180    0.039    0.000    0.039    0.000 {built-in method torch._ops.profiler._record_function_enter}
      185    0.039    0.000    0.039    0.000 {method 'flush' of '_io.BufferedRandom' objects}
       30    0.039    0.001    6.911    0.230 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/utils/data/dataloader.py:987(__init__)
      600    0.038    0.000    0.143    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/multiprocessing/synchronize.py:50(__init__)
   273462    0.037    0.000    0.037    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/artist.py:267(axes)
    55767    0.037    0.000    0.092    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/autograd/grad_mode.py:131(__enter__)
    22032    0.037    0.000    0.153    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
      340    0.037    0.000    0.037    0.000 {built-in method torch._C._nn.cross_entropy_loss}
    58044    0.037    0.000    0.135    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/re.py:172(match)
    58946    0.037    0.000    0.052    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/enum.py:289(__call__)
     3682    0.036    0.000    0.036    0.000 {method 'zero_' of 'torch._C._TensorBase' objects}
     8480    0.036    0.000    0.098    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/axis.py:1607(_set_formatter)
   161335    0.036    0.000    0.049    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/_tensor.py:928(__hash__)
     9883    0.036    0.000    0.295    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/transforms.py:2057(scale)
     3900    0.036    0.000    0.424    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/axis.py:349(_apply_params)
    66628    0.035    0.000    0.039    0.000 {built-in method _abc._abc_instancecheck}
    53498    0.035    0.000    0.066    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/nn/modules/module.py:643(compute_should_use_set_data)
     6138    0.035    0.000    0.166    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/matplotlib/font_manager.py:1248(findfont)
      820    0.034    0.000   12.667    0.015 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torchvision/models/resnet.py:266(_forward_impl)
254049/242239    0.034    0.000    0.041    0.000 {built-in method builtins.len}
    43460    0.033    0.000    0.047    0.000 /scratch/sq58/emok/miniconda/conda/envs/exp1/lib/python3.7/site-packages/torch/backends/__init__.py:31(__get__)
